N_1._tr|B4IC01|B4IC01_DROSE	GO:0003723	GO:0003723
N_9221._tr|B4I2C7|B4I2C7_DROSE	GO:0016746
N_9222._tr|B4HNE1|B4HNE1_DROSE	GO:0005515	GO:0005515
N_9223._tr|B4IJL3|B4IJL3_DROSE	
N_9224._tr|B4IFJ4|B4IFJ4_DROSE	GO:0003723
N_9225._tr|B4I8T3|B4I8T3_DROSE	
N_9226._tr|B4IHA4|B4IHA4_DROSE	GO:0005216	GO:0006811	GO:0055085	GO:0016020
N_9227._tr|B4IMQ4|B4IMQ4_DROSE	GO:0005549
N_9228._tr|B4HZD6|B4HZD6_DROSE	GO:0004222	GO:0006508
N_9229._tr|B4II13|B4II13_DROSE	GO:0004984	GO:0005549	GO:0007608	GO:0016020
N_9230._tr|B4I3A3|B4I3A3_DROSE	GO:0008270	GO:0005634
N_9231._tr|B4I1C7|B4I1C7_DROSE	GO:0005515	GO:0070122	GO:0140492
N_9232._tr|B4HML6|B4HML6_DROSE	GO:0005515
N_9233._tr|B4IF94|B4IF94_DROSE	GO:0016787
N_9234._tr|B4I3G6|B4I3G6_DROSE	
N_9235._tr|B4I0F2|B4I0F2_DROSE	
N_9236._tr|B4IPI3|B4IPI3_DROSE	GO:0016459
N_9237._tr|B4HZF9|B4HZF9_DROSE	GO:0005515
N_9238._tr|B4IM51|B4IM51_DROSE	GO:0005975
N_9239._tr|B4IFU0|B4IFU0_DROSE	GO:0005515	GO:0005515	GO:0005515	GO:0005515	GO:0005515
N_9240._tr|B4IK24|B4IK24_DROSE	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_9241._tr|B4IFS0|B4IFS0_DROSE	
N_9242._tr|B4HVZ9|B4HVZ9_DROSE	GO:0005515	GO:0005515	GO:0005515	GO:0005515	GO:0005515
N_9243._tr|B4IH40|B4IH40_DROSE	GO:0008289
N_9244._tr|B4IFG1|B4IFG1_DROSE	
N_9245._tr|B4HM10|B4HM10_DROSE	GO:0005515	GO:0005515	GO:0005515
N_9246._tr|A5JHN0|A5JHN0_DROSE	GO:0050909	GO:0016021
N_9247._tr|B4IPG0|B4IPG0_DROSE	GO:0000165	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_9248._tr|B4IHL1|B4IHL1_DROSE	
N_9249._tr|B4HVH4|B4HVH4_DROSE	
N_9250._tr|B4IM26|B4IM26_DROSE	GO:0005507	GO:0016491
N_9251._tr|B4HHY7|B4HHY7_DROSE	
N_9252._tr|B4HMT4|B4HMT4_DROSE	GO:0005525	GO:0003924	GO:0005525	GO:0005525	GO:0005525	GO:0003924	GO:0005525	GO:0003924	GO:0005525
N_9253._tr|B4IAH5|B4IAH5_DROSE	GO:0016757	GO:0016020
N_9254._tr|B4I8T2|B4I8T2_DROSE	
N_9255._tr|B4HM49|B4HM49_DROSE	GO:0050909	GO:0016021
N_9256._tr|B4II42|B4II42_DROSE	
N_9257._tr|B4IDS8|B4IDS8_DROSE	GO:0008237	GO:0008270
N_9258._tr|B4HZB3|B4HZB3_DROSE	
N_9259._tr|B4IH93|B4IH93_DROSE	GO:0004252	GO:0006508
N_9260._tr|B4IHW9|B4IHW9_DROSE	
N_9261._tr|B4I9W7|B4I9W7_DROSE	
N_9262._tr|B4HSA0|B4HSA0_DROSE	GO:0005262	GO:0070588	GO:0016020	GO:0005219	GO:0006874	GO:0016021	GO:0005515	GO:0005216	GO:0006811	GO:0055085	GO:0016020
N_9263._tr|B4IN57|B4IN57_DROSE	
N_9264._tr|B4HGB3|B4HGB3_DROSE	GO:0006355	GO:0005515
N_9265._tr|B4HL80|B4HL80_DROSE	GO:0004984	GO:0005549	GO:0007608	GO:0016020
N_9266._tr|B4HFM1|B4HFM1_DROSE	GO:0005549
N_9267._tr|B4HZW5|B4HZW5_DROSE	
N_9268._tr|B4I7I0|B4I7I0_DROSE	
N_9269._tr|B4HXX5|B4HXX5_DROSE	GO:0008270	GO:0008270	GO:0046872	GO:0061630
N_9270._tr|B4IE64|B4IE64_DROSE	GO:0008168
N_9271._tr|B4I2I9|B4I2I9_DROSE	
N_9272._tr|B4IAB1|B4IAB1_DROSE	
N_9273._tr|B4I5W1|B4I5W1_DROSE	
N_9274._tr|Q5R270|Q5R270_DROSE	GO:0005515	GO:0005515	GO:0005515	GO:0005515	GO:0005515
N_9275._tr|B4IIM5|B4IIM5_DROSE	
N_9276._tr|B4HJC6|B4HJC6_DROSE	GO:0009922	GO:0016021
N_9277._tr|B4HZG0|B4HZG0_DROSE	
N_9278._tr|B4IEJ0|B4IEJ0_DROSE	
N_9279._tr|B4HU97|B4HU97_DROSE	
N_9280._sp|B4I414|NMDA1_DROSE	GO:0004970	GO:0016020	GO:0015276	GO:0016020
N_9281._tr|B4I1H7|B4I1H7_DROSE	
N_9282._tr|B4HPV5|B4HPV5_DROSE	GO:0015078	GO:1902600	GO:0033177
N_9283._tr|B4I1A9|B4I1A9_DROSE	
N_9284._tr|B4HXL0|B4HXL0_DROSE	GO:0005515	GO:0005515	GO:0005515	GO:0005515	GO:0005515
N_9285._tr|B4HWN2|B4HWN2_DROSE	GO:0016491	GO:0016616
N_9286._tr|B4HIN3|B4HIN3_DROSE	GO:0016021
N_9287._tr|B4HKV5|B4HKV5_DROSE	GO:0008140	GO:0051289
N_9288._tr|B4IF12|B4IF12_DROSE	GO:0003676	GO:0005524	GO:0003677	GO:0005524	GO:0016787
N_9289._tr|B4I8C5|B4I8C5_DROSE	GO:0005515	GO:0005515	GO:0004222	GO:0006508
N_9290._tr|B4HQM4|B4HQM4_DROSE	
N_9291._tr|B4HWI3|B4HWI3_DROSE	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_9292._tr|B4ILE1|B4ILE1_DROSE	GO:0004674	GO:0005524	GO:0006468	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_9293._sp|B4IDM2|NNRE_DROSE	
N_9294._tr|B4I7D4|B4I7D4_DROSE	GO:0004222	GO:0006508	GO:0006508
N_9295._tr|B4I499|B4I499_DROSE	GO:0005549
N_9296._tr|B4IID0|B4IID0_DROSE	
N_9297._tr|B4HW68|B4HW68_DROSE	
N_9298._tr|B4HKK1|B4HKK1_DROSE	GO:0003700	GO:0045893
N_9299._tr|B4I5M9|B4I5M9_DROSE	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_9300._tr|B4HZB9|B4HZB9_DROSE	GO:0005549
N_9301._tr|B4IKJ1|B4IKJ1_DROSE	
N_9302._tr|B4HS34|B4HS34_DROSE	
N_9303._tr|B4HNP6|B4HNP6_DROSE	
N_9304._tr|B4HQ26|B4HQ26_DROSE	GO:0022857	GO:0055085	GO:0016021	GO:0022857	GO:0055085
N_9305._tr|B4ID03|B4ID03_DROSE	GO:0005509	GO:0007156	GO:0016020
N_9306._tr|B4I5X5|B4I5X5_DROSE	GO:0008270	GO:0005515
N_9307._tr|B4IHK4|B4IHK4_DROSE	
N_9308._tr|B4IG09|B4IG09_DROSE	GO:0046983
N_9309._tr|B4HW08|B4HW08_DROSE	GO:0005515	GO:0005515	GO:0004222	GO:0006508
N_9310._tr|B4I484|B4I484_DROSE	GO:0008270	GO:0008270	GO:0046872
N_9311._tr|B4HPY8|B4HPY8_DROSE	GO:0005515	GO:0005515	GO:0005515	GO:0005515	GO:0005515	GO:0005515
N_9312._tr|B4HKU2|B4HKU2_DROSE	GO:0004252	GO:0006508
N_9313._tr|B4HV27|B4HV27_DROSE	
N_9314._tr|B4IMI6|B4IMI6_DROSE	
N_9315._tr|B4HP40|B4HP40_DROSE	
N_9316._tr|B4I4R9|B4I4R9_DROSE	GO:0005515
N_9317._tr|B4I6W1|B4I6W1_DROSE	GO:0004984	GO:0007186	GO:0016021	GO:0004930	GO:0007186	GO:0016021
N_9318._tr|B4I8L2|B4I8L2_DROSE	
N_9319._tr|B4I7K8|B4I7K8_DROSE	GO:0023041	GO:0030867
N_9320._tr|B4ICQ6|B4ICQ6_DROSE	
N_9321._tr|B4I1U5|B4I1U5_DROSE	GO:0005272	GO:0006814	GO:0016020
N_9322._tr|B4HYW0|B4HYW0_DROSE	GO:0007186
N_9323._tr|B4HRX4|B4HRX4_DROSE	GO:0004497	GO:0005506	GO:0016705	GO:0020037
N_9324._tr|B4HII9|B4HII9_DROSE	
N_9325._tr|B4I9T7|B4I9T7_DROSE	GO:0005524	GO:0140662
N_9326._tr|B4IDE2|B4IDE2_DROSE	GO:0030170	GO:0009058
N_9327._tr|B4IJ59|B4IJ59_DROSE	GO:0004016	GO:0006171	GO:0005886	GO:0009190	GO:0035556
N_9328._tr|B4IEM3|B4IEM3_DROSE	GO:0005524
N_9329._tr|B4IKQ4|B4IKQ4_DROSE	
N_9330._tr|B4HZF7|B4HZF7_DROSE	GO:0004252	GO:0006508
N_9331._tr|B4HSW4|B4HSW4_DROSE	GO:0005515	GO:0005515	GO:0005515	GO:0005515	GO:0005515	GO:0005515
N_9332._tr|B4HJG5|B4HJG5_DROSE	
N_9333._tr|B4IJX2|B4IJX2_DROSE	
N_9334._tr|B4I1H9|B4I1H9_DROSE	
N_9335._tr|B4HZS2|B4HZS2_DROSE	GO:0004656	GO:0005783
N_9336._tr|B4HQF1|B4HQF1_DROSE	GO:0016021
N_9337._tr|B4HMK9|B4HMK9_DROSE	GO:0005515	GO:0005515	GO:0005515
N_9338._tr|B4I2N5|B4I2N5_DROSE	GO:0003677	GO:0006352
N_9339._tr|B4I785|B4I785_DROSE	GO:0008138	GO:0016311
N_9340._tr|B4IAK6|B4IAK6_DROSE	
N_9341._tr|B4HVS5|B4HVS5_DROSE	GO:0004725	GO:0006470	GO:0004721
N_9342._tr|B4IJK1|B4IJK1_DROSE	
N_9343._tr|B4I2Q4|B4I2Q4_DROSE	GO:0003924	GO:0005525
N_9344._tr|B4IFG7|B4IFG7_DROSE	GO:0051287	GO:0016616	GO:0051287
N_9345._tr|B4HFJ8|B4HFJ8_DROSE	
N_9346._tr|B4HX22|B4HX22_DROSE	
N_9347._tr|B4IHL0|B4IHL0_DROSE	GO:0006914	GO:0005737
N_9348._tr|B4HX03|B4HX03_DROSE	
N_9349._tr|B4HWW4|B4HWW4_DROSE	
N_9350._tr|B4I7J7|B4I7J7_DROSE	
N_9351._tr|B4HE31|B4HE31_DROSE	GO:0005515
N_9352._tr|B4HZX4|B4HZX4_DROSE	
N_9353._tr|B4HX17|B4HX17_DROSE	GO:0004553	GO:0005975
N_9354._tr|B4HYI1|B4HYI1_DROSE	
N_9355._tr|B4HYG1|B4HYG1_DROSE	GO:0022857	GO:0055085	GO:0016020
N_9356._tr|B4ILY7|B4ILY7_DROSE	GO:0003677	GO:0006334	GO:0000786
N_9357._tr|B4HPI8|B4HPI8_DROSE	
N_9358._tr|B4HQ08|B4HQ08_DROSE	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468	GO:0005515
N_9359._tr|B4HTN3|B4HTN3_DROSE	GO:0004252	GO:0006508
N_9360._tr|B4HY09|B4HY09_DROSE	GO:0003824
N_9361._tr|B4HNN7|B4HNN7_DROSE	GO:0005515	GO:0006749	GO:0005515	GO:0006749	GO:0005515	GO:0006749
N_9362._tr|B4HV36|B4HV36_DROSE	GO:0005515	GO:0005515	GO:0005515	GO:0008318	GO:0018342	GO:0005515
N_9363._tr|B4I816|B4I816_DROSE	GO:0015031	GO:0042147	GO:0030906
N_9364._tr|B4HZG8|B4HZG8_DROSE	
N_9365._tr|B4HZJ2|B4HZJ2_DROSE	
N_9366._tr|B4HED9|B4HED9_DROSE	
N_9367._tr|B4ID96|B4ID96_DROSE	
N_9368._tr|B4I451|B4I451_DROSE	GO:0005509	GO:0005509	GO:0005509	GO:0005509	GO:0005509
N_9369._tr|B4HGH6|B4HGH6_DROSE	
N_9370._tr|B4HGS3|B4HGS3_DROSE	
N_9371._tr|B4I267|B4I267_DROSE	
N_9372._tr|B4IGG6|B4IGG6_DROSE	
N_9373._tr|B4IME9|B4IME9_DROSE	
N_9374._tr|B4HKP5|B4HKP5_DROSE	GO:0008270
N_9375._tr|B4HUC1|B4HUC1_DROSE	GO:0008519	GO:0072488	GO:0016020
N_9376._tr|B4I5I2|B4I5I2_DROSE	GO:0008080	GO:0008080	GO:0008080
N_9377._tr|B4HHT5|B4HHT5_DROSE	GO:0006629
N_9378._tr|B4I3R4|B4I3R4_DROSE	GO:0005272	GO:0006814	GO:0016020
N_9379._tr|B4IA00|B4IA00_DROSE	GO:0016020
N_9380._tr|B4HJ89|B4HJ89_DROSE	
N_9381._tr|B4IED4|B4IED4_DROSE	GO:0046034	GO:1902600	GO:0005524
N_9382._tr|B4I9P0|B4I9P0_DROSE	
N_9383._tr|B4I2C2|B4I2C2_DROSE	GO:0003723	GO:0003746	GO:0043022	GO:0045901	GO:0045905
N_9384._tr|B4HJN6|B4HJN6_DROSE	
N_9385._tr|B4IDA2|B4IDA2_DROSE	GO:0004984	GO:0005549	GO:0007608	GO:0016020
N_9386._tr|B4HNQ4|B4HNQ4_DROSE	GO:0016021
N_9387._tr|B4I306|B4I306_DROSE	
N_9388._tr|B4IL18|B4IL18_DROSE	
N_9389._tr|B4IHR5|B4IHR5_DROSE	GO:0003924	GO:0005525	GO:0005524	GO:0140664	GO:0005524	GO:0140359	GO:0055085	GO:0016021	GO:0005525	GO:0005524	GO:0016887
N_9390._tr|B4HHF8|B4HHF8_DROSE	GO:0004252	GO:0006508
N_9391._tr|B4I921|B4I921_DROSE	
N_9392._tr|B4HG25|B4HG25_DROSE	
N_9393._tr|B4I9Q4|B4I9Q4_DROSE	GO:0004497	GO:0005506	GO:0016705	GO:0020037
N_9394._tr|B4IDU1|B4IDU1_DROSE	
N_9395._tr|B4IJC3|B4IJC3_DROSE	
N_9396._tr|B4HNU9|B4HNU9_DROSE	
N_9397._tr|B4IIG9|B4IIG9_DROSE	
N_9398._tr|B4HI45|B4HI45_DROSE	GO:0003677
N_9399._tr|B4I9R0|B4I9R0_DROSE	GO:0004497	GO:0005506	GO:0016705	GO:0020037
N_9400._tr|B4HNG4|B4HNG4_DROSE	GO:0004252	GO:0006508
N_9401._tr|B4HV28|B4HV28_DROSE	
N_9402._tr|B4HIZ8|B4HIZ8_DROSE	
N_9403._tr|B4HS76|B4HS76_DROSE	GO:0004252	GO:0006508
N_9404._tr|B4HPP7|B4HPP7_DROSE	GO:0004497	GO:0005506	GO:0016705	GO:0020037
N_9405._tr|B4ID02|B4ID02_DROSE	GO:0005509	GO:0007156	GO:0005509	GO:0007156	GO:0016020
N_9406._tr|B4I2T2|B4I2T2_DROSE	GO:0005525
N_9407._tr|B4HMZ4|B4HMZ4_DROSE	GO:0005515	GO:0005515	GO:0005515
N_9408._tr|B4HEZ8|B4HEZ8_DROSE	GO:0016787
N_9409._tr|B4IHG6|B4IHG6_DROSE	
N_9410._tr|B4I1X5|B4I1X5_DROSE	
N_9411._tr|B4HZ40|B4HZ40_DROSE	
N_9412._tr|B4HZ18|B4HZ18_DROSE	GO:0005515
N_9413._tr|B4HV34|B4HV34_DROSE	GO:0005739
N_9414._tr|B4ILW3|B4ILW3_DROSE	GO:0005515
N_9415._tr|B4HU30|B4HU30_DROSE	GO:0005515	GO:0005515	GO:0005515
N_9416._tr|B4HT53|B4HT53_DROSE	GO:0002218	GO:0032481
N_9417._tr|B4I4U2|B4I4U2_DROSE	
N_9418._tr|B4I0Y2|B4I0Y2_DROSE	GO:0070037	GO:0070475
N_9419._tr|B4IG11|B4IG11_DROSE	GO:0008168	GO:0008168	GO:0003677	GO:0008170	GO:0006306
N_9420._tr|B4HGJ9|B4HGJ9_DROSE	GO:0005515
N_9421._tr|B4IEM0|B4IEM0_DROSE	GO:0007165	GO:0007165	GO:0005515
N_9422._tr|B4IQF9|B4IQF9_DROSE	GO:0003677
N_9423._tr|B4HN17|B4HN17_DROSE	GO:0005515
N_9424._tr|B4IAS4|B4IAS4_DROSE	GO:0140664	GO:0005524	GO:0016887
N_9425._tr|B4HXI9|B4HXI9_DROSE	GO:0008270
N_9426._tr|B4IG08|B4IG08_DROSE	
N_9427._tr|B4I473|B4I473_DROSE	GO:0007029	GO:0005789
N_9428._tr|B4I9Y9|B4I9Y9_DROSE	GO:0006511	GO:0007275	GO:0005737
N_9429._tr|B4IBY0|B4IBY0_DROSE	GO:0008484
N_9430._tr|B4ICV2|B4ICV2_DROSE	GO:0003723	GO:0046872
N_9431._tr|B4I8K7|B4I8K7_DROSE	
N_9432._tr|B4I5N0|B4I5N0_DROSE	
N_9433._tr|B4IAQ3|B4IAQ3_DROSE	
N_9434._tr|B4HZ19|B4HZ19_DROSE	GO:0008270	GO:0005634
N_9435._tr|B4HTS8|B4HTS8_DROSE	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_9436._tr|B4HPS3|B4HPS3_DROSE	GO:0005549
N_9437._tr|B4HTY0|B4HTY0_DROSE	GO:0008527	GO:0050912	GO:0016021	GO:0050909	GO:0016021
N_9438._tr|Q6RC62|Q6RC62_DROSE	
N_9439._tr|B4HS03|B4HS03_DROSE	GO:0016973	GO:0005643
N_9440._tr|B4IQS3|B4IQS3_DROSE	
N_9441._tr|B4IMF8|B4IMF8_DROSE	
N_9442._tr|B4HPA5|B4HPA5_DROSE	GO:0030431	GO:0032222	GO:1903818
N_9443._tr|B4HHV4|B4HHV4_DROSE	GO:0005515
N_9444._tr|B4I5Z4|B4I5Z4_DROSE	
N_9445._tr|B4I9A1|B4I9A1_DROSE	GO:0003723
N_9446._tr|B4HUK9|B4HUK9_DROSE	GO:0022857	GO:0055085	GO:0016021	GO:0022857	GO:0055085
N_9447._tr|B4ILR3|B4ILR3_DROSE	
N_9448._tr|B4IQP6|B4IQP6_DROSE	GO:0008289
N_9449._tr|B4HT90|B4HT90_DROSE	
N_9450._tr|B4I9X9|B4I9X9_DROSE	GO:0006355
N_9451._tr|B4II71|B4II71_DROSE	GO:0005509	GO:0005509	GO:0005509
N_9452._tr|B4I5L8|B4I5L8_DROSE	GO:0004144	GO:0045017	GO:0004144
N_9453._tr|B4HW67|B4HW67_DROSE	GO:0003723	GO:0106005	GO:0005845
N_9454._tr|B4HX24|B4HX24_DROSE	GO:0005515	GO:0070122	GO:0140492
N_9455._tr|B4I268|B4I268_DROSE	
N_9456._tr|B4HUY1|B4HUY1_DROSE	GO:0003700	GO:0006355	GO:0003677
N_9457._tr|B4HJU5|B4HJU5_DROSE	
N_9458._tr|B4HW90|B4HW90_DROSE	
N_9459._tr|B4I7F8|B4I7F8_DROSE	GO:0005524	GO:0035299
N_9460._tr|B4I6D9|B4I6D9_DROSE	GO:0006464	GO:0015031
N_9461._tr|B4HTI3|B4HTI3_DROSE	GO:0004930	GO:0007186	GO:0016021	GO:0008528
N_9462._tr|B4HPB4|B4HPB4_DROSE	
N_9463._tr|B4I3A0|B4I3A0_DROSE	GO:0008270	GO:0005634
N_9464._tr|B4HR62|B4HR62_DROSE	
N_9465._tr|B4HQG1|B4HQG1_DROSE	GO:0016021
N_9466._tr|B4HRN0|B4HRN0_DROSE	GO:0022857	GO:0055085
N_9467._tr|B4HMU4|B4HMU4_DROSE	GO:0016787	GO:0016787	GO:0009166
N_9468._tr|B4I7Y6|B4I7Y6_DROSE	
N_9469._tr|B4I363|B4I363_DROSE	GO:0015631
N_9470._tr|B4IAA1|B4IAA1_DROSE	GO:0022857	GO:0055085	GO:0016020	GO:0055085	GO:0016020
N_9471._tr|B4IEI3|B4IEI3_DROSE	GO:0008080	GO:0016747	GO:0008080	GO:0008080
N_9472._tr|B4HYB8|B4HYB8_DROSE	
N_9473._tr|B4HH10|B4HH10_DROSE	
N_9474._tr|B4HFQ4|B4HFQ4_DROSE	GO:0003723
N_9475._tr|B4HFL5|B4HFL5_DROSE	GO:0003677	GO:0006355	GO:0003677
N_9476._tr|B4HQN5|B4HQN5_DROSE	
N_9477._tr|B4IMG7|B4IMG7_DROSE	GO:0003743	GO:0006413
N_9478._tr|Q6QH13|Q6QH13_DROSE	GO:0006511	GO:0019773	GO:0051603	GO:0005839
N_9479._tr|B4HZT2|B4HZT2_DROSE	GO:0005524	GO:0016887	GO:0005524	GO:0016887	GO:0009378	GO:0006281	GO:0006310	GO:0005524	GO:0016887
N_9480._tr|B4I882|B4I882_DROSE	
N_9481._tr|B4HPE4|B4HPE4_DROSE	GO:0003924	GO:0005525
N_9482._tr|B4HK75|B4HK75_DROSE	
N_9483._tr|B4HHB8|B4HHB8_DROSE	
N_9484._tr|B4IFN8|B4IFN8_DROSE	GO:0050909	GO:0016021
N_9485._tr|B4I6E7|B4I6E7_DROSE	GO:0005524
N_9486._tr|B4IHW1|B4IHW1_DROSE	
N_9487._tr|B4HY88|B4HY88_DROSE	GO:0016021
N_9488._tr|B4HL98|B4HL98_DROSE	
N_9489._tr|B4HVF8|B4HVF8_DROSE	GO:0008270	GO:0046872	GO:0008270	GO:0061630	GO:0097602	GO:0031145	GO:0005680
N_9490._tr|B4HKY6|B4HKY6_DROSE	GO:0005525	GO:0003924	GO:0005525	GO:0005525	GO:0003924	GO:0005525
N_9491._tr|B4IBN4|B4IBN4_DROSE	
N_9492._tr|B4I625|B4I625_DROSE	GO:0007076	GO:0000796
N_9493._tr|B4HGD3|B4HGD3_DROSE	
N_9494._tr|B4IBB6|B4IBB6_DROSE	GO:0003723
N_9495._tr|B4HZ23|B4HZ23_DROSE	
N_9496._tr|B4I169|B4I169_DROSE	GO:0042721
N_9497._tr|B4HPE2|B4HPE2_DROSE	GO:0016627	GO:0016627	GO:0016627	GO:0050660
N_9498._tr|B4I276|B4I276_DROSE	GO:0008061	GO:0005576
N_9499._tr|B4HXV4|B4HXV4_DROSE	
N_9500._tr|B4I9D4|B4I9D4_DROSE	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_9501._tr|B4HWP2|B4HWP2_DROSE	GO:0005515	GO:0046872
N_9502._tr|B4I7A5|B4I7A5_DROSE	
N_9503._tr|B4HIM5|B4HIM5_DROSE	GO:0003735	GO:0005763
N_9504._tr|B4HFV7|B4HFV7_DROSE	GO:0016671
N_9505._tr|B4HJH9|B4HJH9_DROSE	GO:0008484
N_9506._tr|B4I152|B4I152_DROSE	GO:0005515	GO:0046983	GO:0005515
N_9507._tr|B4IGZ0|B4IGZ0_DROSE	GO:0005525	GO:0005525	GO:0003924	GO:0005525	GO:0005525
N_9508._tr|B4I1M4|B4I1M4_DROSE	
N_9509._tr|B4HT78|B4HT78_DROSE	GO:0005975
N_9510._tr|B4I8M5|B4I8M5_DROSE	GO:0006511	GO:0006511
N_9511._tr|B4HLG3|B4HLG3_DROSE	GO:0005515	GO:0005515	GO:0005515	GO:0005515
N_9512._tr|B4HUM8|B4HUM8_DROSE	GO:0004252	GO:0006508
N_9513._tr|B4IEK5|B4IEK5_DROSE	
N_9514._tr|B4HVZ0|B4HVZ0_DROSE	GO:0005515
N_9515._tr|B4ICP6|B4ICP6_DROSE	GO:0006888	GO:0005789
N_9516._tr|B4HNT2|B4HNT2_DROSE	GO:0008083
N_9517._tr|B4IL75|B4IL75_DROSE	
N_9518._tr|B4HVQ1|B4HVQ1_DROSE	GO:0008017	GO:0003777	GO:0005524	GO:0008017	GO:0007018	GO:0008017
N_9519._tr|B4IJH6|B4IJH6_DROSE	GO:0003677
N_9520._tr|B4I3C3|B4I3C3_DROSE	GO:0003723
N_9521._sp|B4HNI3|QVR_DROSE	GO:0030431	GO:0032222	GO:1903818
N_9522._tr|B4HL83|B4HL83_DROSE	GO:0004252	GO:0006508
N_9523._tr|B4HSQ1|B4HSQ1_DROSE	GO:0004497	GO:0005506	GO:0016705	GO:0020037
N_9524._tr|B4HEU0|B4HEU0_DROSE	GO:0004222	GO:0006508	GO:0006508
N_9525._tr|B4IJT7|B4IJT7_DROSE	
N_9526._tr|B4I144|B4I144_DROSE	GO:0022857	GO:0055085	GO:0016020
N_9527._tr|B4I1S0|B4I1S0_DROSE	GO:0030041	GO:0034314	GO:0005885	GO:0015629
N_9528._tr|B4HJV3|B4HJV3_DROSE	GO:0003779	GO:0007010
N_9529._tr|B4HMF8|B4HMF8_DROSE	GO:0004222	GO:0006508
N_9530._tr|B4HHJ7|B4HHJ7_DROSE	GO:0005524	GO:0140662
N_9531._tr|B4I238|B4I238_DROSE	GO:0008484
N_9532._tr|B4I4U3|B4I4U3_DROSE	GO:0016787
N_9533._tr|B4I1A4|B4I1A4_DROSE	GO:0005515
N_9534._tr|B4I0J5|B4I0J5_DROSE	GO:0004181	GO:0008270	GO:0006508
N_9535._tr|B4HYP4|B4HYP4_DROSE	GO:0008270	GO:0008270	GO:0061630	GO:0097602	GO:0031145	GO:0005680
N_9536._tr|B4IHT8|B4IHT8_DROSE	GO:0022857	GO:0055085	GO:0016021	GO:0022857	GO:0055085
N_9537._tr|B4HTK8|B4HTK8_DROSE	GO:0008137
N_9538._tr|B4I9W8|B4I9W8_DROSE	GO:0003777	GO:0005524	GO:0008017	GO:0007018	GO:0008017
N_9539._tr|B4IG26|B4IG26_DROSE	GO:0008146	GO:0016021
N_9540._tr|B4HHL7|B4HHL7_DROSE	
N_9541._tr|B4HRV9|B4HRV9_DROSE	
N_9542._tr|B4I6U4|B4I6U4_DROSE	
N_9543._tr|B4I9R9|B4I9R9_DROSE	GO:0005515
N_9544._tr|B4HYJ7|B4HYJ7_DROSE	GO:0016298
N_9545._tr|B4HR51|B4HR51_DROSE	
N_9546._tr|B4I039|B4I039_DROSE	
N_9547._tr|B4IAS9|B4IAS9_DROSE	GO:0008236	GO:0006508
N_9548._tr|B4HU23|B4HU23_DROSE	
N_9549._tr|B4HMJ5|B4HMJ5_DROSE	
N_9550._tr|B4I7B1|B4I7B1_DROSE	GO:0022857	GO:0055085	GO:0016020	GO:0055085	GO:0016020
N_9551._tr|B4I9Z9|B4I9Z9_DROSE	
N_9552._tr|B4I6G0|B4I6G0_DROSE	GO:0005524	GO:0005524
N_9553._tr|B4HY12|B4HY12_DROSE	GO:0005515
N_9554._tr|B4HMS0|B4HMS0_DROSE	
N_9555._tr|B4IMX6|B4IMX6_DROSE	GO:0003735	GO:0006412	GO:0005840
N_9556._tr|B4HWX3|B4HWX3_DROSE	GO:0005515	GO:0005515	GO:0035091	GO:0043130	GO:0005515
N_9557._tr|B4IGY6|B4IGY6_DROSE	GO:0004222	GO:0006508	GO:0006508
N_9558._tr|B4IBD8|B4IBD8_DROSE	GO:0004930	GO:0007186	GO:0016021	GO:0005515
N_9559._tr|B4HLD4|B4HLD4_DROSE	GO:0042407	GO:0061617
N_9560._tr|B4HMA9|B4HMA9_DROSE	GO:0005524	GO:0008134	GO:0006355	GO:0005524	GO:0043531	GO:0004386	GO:0005524	GO:0008134	GO:0006355	GO:0003723	GO:0003724	GO:0005524	GO:0005524	GO:0016887	GO:0005524	GO:0016887	GO:0005524	GO:0016301	GO:0005524	GO:0005524	GO:0005524	GO:0002949	GO:0019079	GO:0009378	GO:0006281	GO:0006310	GO:0005524	GO:0016887	GO:0005524	GO:0005524	GO:0016887
N_9561._tr|B4HP99|B4HP99_DROSE	
N_9562._tr|B4IED5|B4IED5_DROSE	GO:0046034	GO:1902600	GO:0005524
N_9563._tr|B4HH86|B4HH86_DROSE	GO:0008483	GO:0030170
N_9564._tr|B4HVH1|B4HVH1_DROSE	GO:0004722
N_9565._tr|B4HKL4|B4HKL4_DROSE	GO:0005515	GO:0005515	GO:0005515
N_9566._tr|B4ILS8|B4ILS8_DROSE	GO:0015031	GO:0016021
N_9567._tr|B4I981|B4I981_DROSE	GO:0003924	GO:0005525	GO:0003924	GO:0005525
N_9568._tr|B4HY77|B4HY77_DROSE	
N_9569._tr|B4HY74|B4HY74_DROSE	GO:0030695
