N_1._tr|A0A0J9RCZ1|A0A0J9RCZ1_DROSI	
N_17754._tr|A0A0U3L1V5|A0A0U3L1V5_DROSI	GO:0042742	GO:0005576
N_17755._tr|B4QZ34|B4QZ34_DROSI	GO:0005515
N_17756._tr|B4QLN1|B4QLN1_DROSI	
N_17757._tr|A0A0J9RZ95|A0A0J9RZ95_DROSI	
N_17758._tr|B4R4C5|B4R4C5_DROSI	GO:0003824
N_17759._tr|A0A0J9RN73|A0A0J9RN73_DROSI	GO:0022857	GO:0055085	GO:0016021	GO:0022857	GO:0055085
N_17760._tr|B4QLH1|B4QLH1_DROSI	
N_17761._tr|A0A0J9RW49|A0A0J9RW49_DROSI	GO:0003723
N_17762._tr|B4NTZ0|B4NTZ0_DROSI	GO:0016021
N_17763._tr|A0A3Q7YL12|A0A3Q7YL12_DROSI	GO:0008270	GO:0005634
N_17764._tr|A0A0J9RR88|A0A0J9RR88_DROSI	GO:0003714	GO:0006351
N_17765._tr|A0A0J9QUU4|A0A0J9QUU4_DROSI	
N_17766._tr|A0A0J9UD21|A0A0J9UD21_DROSI	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_17767._tr|B4QPB5|B4QPB5_DROSI	
N_17768._tr|A0A0J9RXC6|A0A0J9RXC6_DROSI	
N_17769._tr|B4R630|B4R630_DROSI	
N_17770._tr|B4QUJ2|B4QUJ2_DROSI	
N_17771._tr|A0A0J9U768|A0A0J9U768_DROSI	
N_17772._tr|A0A0J9R131|A0A0J9R131_DROSI	GO:0006357
N_17773._tr|B4Q4F6|B4Q4F6_DROSI	GO:0005525	GO:0005525	GO:0003924	GO:0005525	GO:0005525
N_17774._tr|A0A0J9RAA8|A0A0J9RAA8_DROSI	GO:0004984	GO:0005549	GO:0007608	GO:0016020
N_17775._tr|A0A0J9U5U1|A0A0J9U5U1_DROSI	GO:0004553	GO:0005975	GO:0004553	GO:0005975	GO:0004553	GO:0005975
N_17776._tr|B4NUC9|B4NUC9_DROSI	GO:0004930	GO:0007186	GO:0016021
N_17777._tr|A0A0J9RL93|A0A0J9RL93_DROSI	GO:0004930	GO:0004930	GO:0007186	GO:0016021	GO:0004930	GO:0007186	GO:0016021
N_17778._tr|B4NUI1|B4NUI1_DROSI	
N_17779._tr|Q2XXU0|Q2XXU0_DROSI	GO:0005515
N_17780._tr|F6JJY1|F6JJY1_DROSI	GO:0004970	GO:0016020
N_17781._tr|A0A0J9RHK5|A0A0J9RHK5_DROSI	GO:0004930	GO:0007186	GO:0016021
N_17782._tr|A7DZ62|A7DZ62_DROSI	GO:0004252	GO:0006508
N_17783._tr|B4NSU3|B4NSU3_DROSI	GO:0003723	GO:0003676
N_17784._tr|B4Q6G2|B4Q6G2_DROSI	GO:0004222	GO:0006508
N_17785._tr|A0A0J9UNQ9|A0A0J9UNQ9_DROSI	GO:0004930	GO:0007186	GO:0016021
N_17786._tr|A0A0J9RN99|A0A0J9RN99_DROSI	GO:0004984	GO:0005549	GO:0007608	GO:0016020
N_17787._tr|A0A0J9RSM9|A0A0J9RSM9_DROSI	
N_17788._tr|E5KYN8|E5KYN8_DROSI	
N_17789._tr|A0A0J9QUV0|A0A0J9QUV0_DROSI	GO:0003924	GO:0005525	GO:0140359	GO:0005524	GO:0016020	GO:0140664	GO:0005524	GO:0016887
N_17790._tr|B4QCP0|B4QCP0_DROSI	GO:0005515
N_17791._tr|B4QHA5|B4QHA5_DROSI	
N_17792._tr|B4R1F9|B4R1F9_DROSI	GO:0043565
N_17793._tr|B4R1N0|B4R1N0_DROSI	GO:0004656	GO:0005783
N_17794._tr|B4NUR5|B4NUR5_DROSI	
N_17795._tr|A0A0J9QVV0|A0A0J9QVV0_DROSI	GO:0004930	GO:0007186	GO:0016021
N_17796._tr|B4NVS5|B4NVS5_DROSI	GO:0003677
N_17797._tr|B4QQ63|B4QQ63_DROSI	GO:0015078	GO:1902600	GO:0033177
N_17798._tr|A0A0J9REB4|A0A0J9REB4_DROSI	GO:0004555	GO:0005991
N_17799._tr|B4QCZ5|B4QCZ5_DROSI	GO:0008251	GO:0002100
N_17800._tr|A0A0J9U7R8|A0A0J9U7R8_DROSI	
N_17801._tr|A0A0J9RAH7|A0A0J9RAH7_DROSI	GO:0005216	GO:0006811	GO:0055085	GO:0016020
N_17802._tr|A0A0J9UEA3|A0A0J9UEA3_DROSI	GO:0003924	GO:0005525	GO:0003924	GO:0005525	GO:0003924	GO:0005525
N_17803._tr|A0A0J9RJ18|A0A0J9RJ18_DROSI	GO:0016301	GO:0016772	GO:0005515	GO:0016301	GO:0016772	GO:0005515	GO:0005515	GO:0005515	GO:0005515
N_17804._tr|B4R2C4|B4R2C4_DROSI	GO:0016787
N_17805._tr|B4QIW9|B4QIW9_DROSI	GO:0022857	GO:0055085	GO:0016021	GO:0022857	GO:0055085
N_17806._tr|A0A0J9RB10|A0A0J9RB10_DROSI	
N_17807._tr|A0A3Q7YSQ2|A0A3Q7YSQ2_DROSI	GO:0006334	GO:0005634
N_17808._tr|B4R3H8|B4R3H8_DROSI	GO:0003677
N_17809._tr|B4NSI9|B4NSI9_DROSI	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_17810._tr|B4QB92|B4QB92_DROSI	GO:0003723	GO:0003755	GO:0000413
N_17811._tr|B4R434|B4R434_DROSI	GO:0008168
N_17812._tr|B4Q4Z6|B4Q4Z6_DROSI	
N_17813._tr|A0A0J9QWZ5|A0A0J9QWZ5_DROSI	GO:0008017	GO:0031122
N_17814._tr|B4QXF3|B4QXF3_DROSI	GO:0007219	GO:0007275	GO:0016021	GO:0005509	GO:0007154	GO:0016020
N_17815._tr|A0A0J9RRE5|A0A0J9RRE5_DROSI	GO:0005515	GO:0005198	GO:0006886	GO:0016192	GO:0030117
N_17816._tr|B4Q6J0|B4Q6J0_DROSI	GO:0004930	GO:0007186	GO:0016021
N_17817._tr|B4NVU9|B4NVU9_DROSI	GO:0003677	GO:0003899	GO:0006351
N_17818._tr|A0ZWV0|A0ZWV0_DROSI	GO:0005615	GO:0004866	GO:0005576	GO:0004866
N_17819._tr|A0A3Q7YHU0|A0A3Q7YHU0_DROSI	
N_17820._tr|A0A0J9RRR2|A0A0J9RRR2_DROSI	
N_17821._tr|B4QJR3|B4QJR3_DROSI	
N_17822._tr|B4QX22|B4QX22_DROSI	GO:0004383	GO:0006182	GO:0020037	GO:0009190	GO:0035556
N_17823._tr|Q18L99|Q18L99_DROSI	GO:0003824	GO:0003824
N_17824._tr|B4Q9X1|B4Q9X1_DROSI	GO:0005515	GO:0003676
N_17825._tr|B4QSC4|B4QSC4_DROSI	
N_17826._tr|B4QSC3|B4QSC3_DROSI	GO:0009922	GO:0016021
N_17827._tr|B4QNS7|B4QNS7_DROSI	GO:0022857	GO:0055085	GO:0016021	GO:0022857	GO:0055085
N_17828._tr|A0A0J9RB85|A0A0J9RB85_DROSI	
N_17829._tr|A0A0J9RVZ7|A0A0J9RVZ7_DROSI	GO:0004383	GO:0006182	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468	GO:0009190	GO:0035556
N_17830._tr|B4QCD5|B4QCD5_DROSI	GO:0006952
N_17831._tr|A0A0J9RVI5|A0A0J9RVI5_DROSI	GO:0003677	GO:0006355	GO:0003677
N_17832._tr|B4Q625|B4Q625_DROSI	GO:0004435	GO:0006629	GO:0007165	GO:0035556
N_17833._tr|A4V9S1|A4V9S1_DROSI	GO:0005515	GO:0007165
N_17834._tr|A0A0J9R161|A0A0J9R161_DROSI	GO:0003924	GO:0005525	GO:0005524	GO:0005524	GO:0140359	GO:0055085	GO:0016021	GO:0005525
N_17835._tr|B4QWM9|B4QWM9_DROSI	
N_17836._tr|A0A0J9RNU2|A0A0J9RNU2_DROSI	
N_17837._tr|B4QWQ7|B4QWQ7_DROSI	
N_17838._tr|E6ZCT9|E6ZCT9_DROSI	
N_17839._tr|B4NUE2|B4NUE2_DROSI	
N_17840._tr|A0A0J9RJI9|A0A0J9RJI9_DROSI	
N_17841._tr|Q6BD00|Q6BD00_DROSI	
N_17842._tr|B4QAQ2|B4QAQ2_DROSI	GO:0005085
N_17843._tr|B4QMV5|B4QMV5_DROSI	GO:0046872
N_17844._tr|A0A0J9RYR5|A0A0J9RYR5_DROSI	GO:0004594	GO:0005524	GO:0015937
N_17845._tr|A0A0J9RIU8|A0A0J9RIU8_DROSI	GO:0005515	GO:0003993	GO:0046872
N_17846._tr|A0A0J9RLG6|A0A0J9RLG6_DROSI	GO:0016758	GO:0006486	GO:0016020	GO:0016757	GO:0016020
N_17847._tr|A0A0J9TX25|A0A0J9TX25_DROSI	
N_17848._tr|A0A0J9RQM8|A0A0J9RQM8_DROSI	GO:0005515
N_17849._tr|A0A0J9R2Q3|A0A0J9R2Q3_DROSI	
N_17850._tr|B6UX04|B6UX04_DROSI	GO:0003677	GO:0003824	GO:0005524	GO:0006259	GO:0005694
N_17851._tr|A0A0J9RYR2|A0A0J9RYR2_DROSI	GO:0015116	GO:0008272	GO:0016021
N_17852._tr|B4QU49|B4QU49_DROSI	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_17853._tr|B4Q570|B4Q570_DROSI	GO:0002949	GO:0006260	GO:0000808	GO:0005634
N_17854._tr|B4R3T9|B4R3T9_DROSI	GO:0006511	GO:0007275	GO:0005737
N_17855._tr|A0A0J9TPG8|A0A0J9TPG8_DROSI	
N_17856._tr|B4QD51|B4QD51_DROSI	GO:0003735	GO:0006412	GO:0005840
N_17857._tr|B4QR45|B4QR45_DROSI	
N_17858._tr|B4R339|B4R339_DROSI	
N_17859._tr|A0A3S6A5R7|A0A3S6A5R7_DROSI	GO:0005524	GO:0140662
N_17860._tr|A0A0J9RX80|A0A0J9RX80_DROSI	GO:0005515	GO:0004842
N_17861._tr|A9YIU1|A9YIU1_DROSI	GO:0004553	GO:0005975
N_17862._tr|B4R1Z0|B4R1Z0_DROSI	
N_17863._tr|B4QGV6|B4QGV6_DROSI	GO:0003777	GO:0005524	GO:0008017	GO:0007018	GO:0008017	GO:0005515
N_17864._tr|B4QPG2|B4QPG2_DROSI	GO:0008061	GO:0005576
N_17865._tr|B4R161|B4R161_DROSI	GO:0005615	GO:0019239
N_17866._tr|B4NRU3|B4NRU3_DROSI	
N_17867._tr|A0A0J9RC54|A0A0J9RC54_DROSI	GO:0003824
N_17868._tr|B4Q882|B4Q882_DROSI	GO:0008270	GO:0005634
N_17869._tr|B4QVX2|B4QVX2_DROSI	GO:0009922	GO:0016021
N_17870._tr|A0A0J9RL84|A0A0J9RL84_DROSI	
N_17871._tr|A0A0J9RNF8|A0A0J9RNF8_DROSI	GO:0008061	GO:0005576
N_17872._tr|Q5S412|Q5S412_DROSI	GO:0046983
N_17873._tr|C4NAP7|C4NAP7_DROSI	GO:0004867
N_17874._tr|Q6V6J6|Q6V6J6_DROSI	GO:0005515	GO:0007165	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_17875._tr|B4QB10|B4QB10_DROSI	
N_17876._tr|B4QH31|B4QH31_DROSI	GO:0015031	GO:0042147	GO:0030906
N_17877._tr|D7FAC8|D7FAC8_DROSI	GO:0050909	GO:0016021
N_17878._tr|A0A0J9UHE6|A0A0J9UHE6_DROSI	
N_17879._tr|A0A3S5ZVQ9|A0A3S5ZVQ9_DROSI	
N_17880._tr|A0A0J9TJL6|A0A0J9TJL6_DROSI	GO:0015018	GO:0016020
N_17881._tr|B4R4V2|B4R4V2_DROSI	GO:0008191
N_17882._tr|A0A0J9RK02|A0A0J9RK02_DROSI	
N_17883._tr|B4QSW3|B4QSW3_DROSI	
N_17884._tr|B4R5P2|B4R5P2_DROSI	
N_17885._tr|A0A0J9RDJ3|A0A0J9RDJ3_DROSI	GO:0016787
N_17886._tr|B4R540|B4R540_DROSI	
N_17887._tr|B4R7B6|B4R7B6_DROSI	
N_17888._tr|Q2XYC7|Q2XYC7_DROSI	
N_17889._tr|A0A0J9UMS3|A0A0J9UMS3_DROSI	
N_17890._tr|A0A0J9UKL3|A0A0J9UKL3_DROSI	GO:0003723
N_17891._tr|D7F8Y4|D7F8Y4_DROSI	GO:0004984	GO:0005549	GO:0007608	GO:0016020
N_17892._tr|A0A0J9RVN7|A0A0J9RVN7_DROSI	GO:0001671	GO:0006289	GO:0000439
N_17893._tr|A0A0J9RGA5|A0A0J9RGA5_DROSI	
N_17894._tr|B4QJU3|B4QJU3_DROSI	
N_17895._tr|B4QCH7|B4QCH7_DROSI	
N_17896._tr|B4R3S6|B4R3S6_DROSI	
N_17897._tr|A0A0J9RFT3|A0A0J9RFT3_DROSI	GO:0005515
N_17898._tr|B4QPN0|B4QPN0_DROSI	
N_17899._tr|B4QR36|B4QR36_DROSI	GO:0008569	GO:0007018	GO:0030286
N_17900._tr|B4QBX1|B4QBX1_DROSI	GO:0006351
N_17901._tr|B4QSX9|B4QSX9_DROSI	
N_17902._tr|A9YGQ0|A9YGQ0_DROSI	GO:0005515
N_17903._tr|A0A0J9RBJ3|A0A0J9RBJ3_DROSI	GO:0005515
N_17904._tr|Q94955|Q94955_DROSI	
N_17905._tr|B4Q769|B4Q769_DROSI	
N_17906._tr|B4QK11|B4QK11_DROSI	GO:0009966	GO:0046658	GO:0062023
N_17907._tr|B4QU45|B4QU45_DROSI	
N_17908._tr|B4QCK5|B4QCK5_DROSI	GO:0005524	GO:0016887
N_17909._tr|B4QD20|B4QD20_DROSI	GO:0017119
N_17910._tr|B4R0Z6|B4R0Z6_DROSI	GO:0003723	GO:0005515	GO:0016070	GO:0016070
N_17911._tr|A0A0J9R2F8|A0A0J9R2F8_DROSI	GO:0005515	GO:0005515
N_17912._tr|A0A0J9R9T2|A0A0J9R9T2_DROSI	
N_17913._tr|Q6QAU3|Q6QAU3_DROSI	GO:0003723
N_17914._tr|B4QRD8|B4QRD8_DROSI	GO:0009190	GO:0035556
N_17915._tr|A0A0J9RQ30|A0A0J9RQ30_DROSI	
N_17916._tr|B4Q4I0|B4Q4I0_DROSI	GO:0004865	GO:0032515
N_17917._tr|B4Q3G1|B4Q3G1_DROSI	
N_17918._tr|B4R2A9|B4R2A9_DROSI	GO:0006629
N_17919._tr|A0A0J9RHN9|A0A0J9RHN9_DROSI	
N_17920._tr|I7C5S0|I7C5S0_DROSI	GO:0015074
N_17921._tr|B4QF06|B4QF06_DROSI	GO:0006605	GO:0006886	GO:0016020
N_17922._tr|A0A0J9RU95|A0A0J9RU95_DROSI	GO:0016491	GO:0016616
N_17923._tr|A0A0J9UPX0|A0A0J9UPX0_DROSI	
N_17924._tr|B4Q741|B4Q741_DROSI	
N_17925._tr|I7DFJ9|I7DFJ9_DROSI	GO:0003677	GO:0006313	GO:0015074
N_17926._tr|A0A0J9UHX8|A0A0J9UHX8_DROSI	GO:0003723	GO:0003743	GO:0006413
N_17927._tr|A0A0J9RJF1|A0A0J9RJF1_DROSI	GO:0022857	GO:0055085	GO:0016020	GO:0022857	GO:0006811	GO:0016020	GO:0055085	GO:0016020
N_17928._tr|B4R5W0|B4R5W0_DROSI	GO:0005515	GO:0005515	GO:0005515
N_17929._tr|A0A0J9RLD3|A0A0J9RLD3_DROSI	GO:0005524	GO:0140658	GO:0006367	GO:0005672	GO:0003677	GO:0005524	GO:0016787
N_17930._tr|B4R5R8|B4R5R8_DROSI	
N_17931._tr|A0A0J9UPT8|A0A0J9UPT8_DROSI	GO:0005886	GO:0016021
N_17932._tr|A0A0J9QWE0|A0A0J9QWE0_DROSI	
N_17933._tr|A8E012|A8E012_DROSI	
N_17934._tr|B4QQA7|B4QQA7_DROSI	GO:0005743	GO:0005751
N_17935._tr|B4NUZ0|B4NUZ0_DROSI	GO:0003924	GO:0005525
N_17936._tr|A0A0J9R7Z0|A0A0J9R7Z0_DROSI	
N_17937._tr|B4Q339|B4Q339_DROSI	GO:0004930	GO:0007186	GO:0016021
N_17938._sp|B4R1Q5|TOTA2_DROSI	GO:0002376
N_17939._tr|A0A0J9UMF4|A0A0J9UMF4_DROSI	
N_17940._tr|A0A3Q7YSK6|A0A3Q7YSK6_DROSI	GO:0004252	GO:0006508
N_17941._tr|Q9MDJ5|Q9MDJ5_DROSI	GO:0008137	GO:0042773
N_17942._tr|A0A0J9S2S8|A0A0J9S2S8_DROSI	GO:0004672	GO:0005524	GO:0006468	GO:0004683	GO:0005516	GO:0006468	GO:0004672	GO:0006468
N_17943._tr|B4R1Z7|B4R1Z7_DROSI	GO:0003723	GO:0008168	GO:0006364
N_17944._tr|B4QNW4|B4QNW4_DROSI	
N_17945._tr|B4QQY0|B4QQY0_DROSI	GO:0046983
N_17946._tr|A1YK92|A1YK92_DROSI	
N_17947._tr|B4QN75|B4QN75_DROSI	GO:0003677
N_17948._tr|B4R2J5|B4R2J5_DROSI	GO:0005484	GO:0006890
N_17949._tr|A0A0J9RHV3|A0A0J9RHV3_DROSI	GO:0004555	GO:0005991
N_17950._tr|B4QID5|B4QID5_DROSI	GO:0051920	GO:0016491	GO:0016209	GO:0016491
N_17951._tr|B4QFB4|B4QFB4_DROSI	GO:0005549
N_17952._tr|A0A0J9RKI2|A0A0J9RKI2_DROSI	
N_17953._tr|B4QU66|B4QU66_DROSI	
N_17954._tr|B4QUA2|B4QUA2_DROSI	
N_17955._tr|B4QD83|B4QD83_DROSI	GO:0035091	GO:0003824
N_17956._tr|B4Q341|B4Q341_DROSI	
N_17957._tr|B4QQR4|B4QQR4_DROSI	GO:0008061	GO:0005576
N_17958._tr|A0A0J9QTG5|A0A0J9QTG5_DROSI	GO:0003677
N_17959._tr|B4Q8H2|B4Q8H2_DROSI	GO:0003924	GO:0005525	GO:0005525
N_17960._tr|A0A0J9TGV3|A0A0J9TGV3_DROSI	
N_17961._tr|B4R671|B4R671_DROSI	GO:0055085	GO:0005741
N_17962._tr|A0A0J9S195|A0A0J9S195_DROSI	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_17963._tr|B4QW49|B4QW49_DROSI	GO:0005524	GO:0016773	GO:0005975	GO:0005524	GO:0016773	GO:0005975
N_17964._tr|B4NSB4|B4NSB4_DROSI	GO:0055085	GO:0016021
N_17965._tr|B4R1B3|B4R1B3_DROSI	GO:0008237	GO:0008270
N_17966._tr|A0A0J9RLY7|A0A0J9RLY7_DROSI	GO:0005509	GO:0005509	GO:0005515	GO:0005509	GO:0005509
N_17967._tr|B4QUN2|B4QUN2_DROSI	
N_17968._tr|A0A0J9RNN1|A0A0J9RNN1_DROSI	GO:0005515	GO:0005515	GO:0005515	GO:0005515	GO:0005515
N_17969._tr|B4QIC9|B4QIC9_DROSI	
N_17970._tr|B4QXF9|B4QXF9_DROSI	
N_17971._tr|F6JH59|F6JH59_DROSI	
N_17972._tr|B4NSB8|B4NSB8_DROSI	GO:0000049
N_17973._tr|B4Q319|B4Q319_DROSI	GO:0006352	GO:0005669
N_17974._tr|A0A0J9RMP4|A0A0J9RMP4_DROSI	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_17975._tr|B4QZF3|B4QZF3_DROSI	
N_17976._tr|A0A0J9R745|A0A0J9R745_DROSI	GO:0016021
N_17977._tr|B4QJP8|B4QJP8_DROSI	GO:0003700	GO:0008270	GO:0043565	GO:0006355	GO:0008061	GO:0005576
N_17978._tr|B4QS64|B4QS64_DROSI	GO:0008194	GO:0016758
N_17979._tr|K7WS19|K7WS19_DROSI	GO:0005515	GO:0003676
N_17980._tr|A0A0J9RKL0|A0A0J9RKL0_DROSI	
N_17981._tr|B4QW67|B4QW67_DROSI	
N_17982._tr|A0A0J9RL96|A0A0J9RL96_DROSI	GO:0030014
N_17983._tr|B4QNT1|B4QNT1_DROSI	
N_17984._tr|Q58SC9|Q58SC9_DROSI	GO:0005515
N_17985._tr|B4QMM9|B4QMM9_DROSI	
N_17986._tr|B4QC44|B4QC44_DROSI	
N_17987._tr|A0A0J9UPT1|A0A0J9UPT1_DROSI	GO:0005886	GO:0016021
N_17988._tr|A0A0J9QV40|A0A0J9QV40_DROSI	GO:0016298	GO:0009058
N_17989._tr|A0A0J9RWD2|A0A0J9RWD2_DROSI	GO:0005515
N_17990._tr|B4QYN3|B4QYN3_DROSI	GO:0003677	GO:0005524	GO:0032508
N_17991._tr|A0A0J9RD09|A0A0J9RD09_DROSI	GO:0004674	GO:0005524	GO:0006468	GO:0004672	GO:0005524	GO:0006468	GO:0005515	GO:0004672	GO:0006468
N_17992._tr|B4Q9D8|B4Q9D8_DROSI	
N_17993._tr|A0A0J9RCT2|A0A0J9RCT2_DROSI	GO:0005515	GO:0005515	GO:0005515	GO:0005515	GO:0005515
N_17994._tr|Q6V6T9|Q6V6T9_DROSI	GO:0016844	GO:0009058	GO:0005515
N_17995._tr|A0A0J9QXL4|A0A0J9QXL4_DROSI	GO:0006820	GO:0016021	GO:0008509	GO:0006820	GO:0016021
N_17996._tr|B6UXV5|B6UXV5_DROSI	GO:0140664	GO:0005524	GO:0016887
N_17997._tr|A0A0J9TXH9|A0A0J9TXH9_DROSI	GO:0005515	GO:0005515	GO:0005515	GO:0005216	GO:0006811	GO:0055085	GO:0016020	GO:0005515	GO:0005515
N_17998._tr|A0A0J9RBI1|A0A0J9RBI1_DROSI	GO:0046872
N_17999._tr|B4NST4|B4NST4_DROSI	
N_18000._tr|B4QWK7|B4QWK7_DROSI	
N_18001._tr|B4R3Q9|B4R3Q9_DROSI	GO:0005515	GO:0000062	GO:0005515	GO:0005515	GO:0005515	GO:0005515
N_18002._tr|A0A0J9RR04|A0A0J9RR04_DROSI	GO:0003700	GO:0008270	GO:0043565	GO:0006355
N_18003._tr|B4Q7J9|B4Q7J9_DROSI	GO:0022857	GO:0055085
N_18004._tr|B4QFB2|B4QFB2_DROSI	
N_18005._tr|B4QLM1|B4QLM1_DROSI	
N_18006._tr|A0A0J9R7T2|A0A0J9R7T2_DROSI	
N_18007._tr|A0A0J9RCH7|A0A0J9RCH7_DROSI	
N_18008._tr|B4Q6G3|B4Q6G3_DROSI	GO:0004222	GO:0006508
N_18009._tr|A0A0J9R7K4|A0A0J9R7K4_DROSI	GO:0006506	GO:0005789
N_18010._tr|B5LES3|B5LES3_DROSI	
N_18011._tr|B4Q5N7|B4Q5N7_DROSI	
N_18012._tr|F6JL08|F6JL08_DROSI	GO:0004252	GO:0006508
N_18013._tr|D7F9C3|D7F9C3_DROSI	GO:0004984	GO:0005549	GO:0007608	GO:0016020
N_18014._tr|B4R5S0|B4R5S0_DROSI	GO:0016192
N_18015._tr|A0A0J9R6J4|A0A0J9R6J4_DROSI	GO:0015035	GO:0005515	GO:0016491	GO:0016209	GO:0016491	GO:0048511
N_18016._tr|B4QSV4|B4QSV4_DROSI	
N_18017._tr|A0A0J9RCD2|A0A0J9RCD2_DROSI	
N_18018._tr|B4QGZ4|B4QGZ4_DROSI	GO:0005509	GO:0005509	GO:0016491	GO:0005509	GO:0005509	GO:0005509
N_18019._tr|A0A0J9RUP3|A0A0J9RUP3_DROSI	GO:0015078	GO:1902600	GO:0033177
N_18020._tr|B4NS62|B4NS62_DROSI	
N_18021._tr|B4Q9F1|B4Q9F1_DROSI	
N_18022._tr|B4QDB4|B4QDB4_DROSI	GO:0003676
N_18023._tr|A0A0J9U3T7|A0A0J9U3T7_DROSI	GO:0003777	GO:0005524	GO:0008017	GO:0007018	GO:0008017	GO:0005515
N_18024._tr|A0A0J9R6X3|A0A0J9R6X3_DROSI	
N_18025._tr|B4NUA5|B4NUA5_DROSI	GO:0030431	GO:0032222	GO:1903818
N_18026._tr|A0A0J9RMN3|A0A0J9RMN3_DROSI	GO:0016021
N_18027._tr|B2ZI98|B2ZI98_DROSI	
N_18028._tr|A9XTU7|A9XTU7_DROSI	GO:0003677
N_18029._tr|A0A0J9UGG5|A0A0J9UGG5_DROSI	GO:0005515	GO:0005515	GO:0005515	GO:0007165	GO:0005515	GO:0005515	GO:0005515
N_18030._tr|B4QDV5|B4QDV5_DROSI	GO:0016021
N_18031._tr|A0A0J9UL18|A0A0J9UL18_DROSI	GO:0009966	GO:0046658	GO:0062023
N_18032._tr|B4QGS3|B4QGS3_DROSI	GO:0005515	GO:0006749	GO:0005515	GO:0006749	GO:0005515	GO:0006749
N_18033._tr|B4NV97|B4NV97_DROSI	GO:0008234	GO:0006508
N_18034._tr|A0A0J9QYK6|A0A0J9QYK6_DROSI	GO:0016012
N_18035._tr|A0A0J9RUN6|A0A0J9RUN6_DROSI	GO:0005515	GO:0005515	GO:0004222	GO:0006508
N_18036._tr|B4Q809|B4Q809_DROSI	GO:0003676	GO:0016787	GO:0046872
N_18037._tr|B4NUI8|B4NUI8_DROSI	GO:0004435	GO:0006629	GO:0007165	GO:0035556	GO:0005515	GO:0005515
N_18038._tr|Q8I9E9|Q8I9E9_DROSI	GO:0016020
N_18039._tr|A0A0J9RQI5|A0A0J9RQI5_DROSI	GO:0004181	GO:0008270	GO:0006508
N_18040._tr|B4QMW7|B4QMW7_DROSI	GO:0005525	GO:0003924	GO:0005525	GO:0003924	GO:0019001	GO:0031683	GO:0007186
N_18041._tr|A0A0J9R7Q9|A0A0J9R7Q9_DROSI	GO:0004675	GO:0005524	GO:0006468	GO:0016020	GO:0004672	GO:0005524	GO:0006468	GO:0004675	GO:0016020	GO:0004672	GO:0006468
N_18042._tr|A0A0J9QYV3|A0A0J9QYV3_DROSI	
N_18043._tr|B4Q528|B4Q528_DROSI	
N_18044._tr|Q9GPC9|Q9GPC9_DROSI	
N_18045._tr|B4QUU6|B4QUU6_DROSI	
N_18046._tr|A0A0J9RER9|A0A0J9RER9_DROSI	
N_18047._tr|B4QA56|B4QA56_DROSI	GO:0005515
N_18048._tr|B4QL47|B4QL47_DROSI	GO:0007411
N_18049._tr|B4QQQ8|B4QQQ8_DROSI	GO:0008061	GO:0005576
N_18050._tr|A0A0J9RKQ4|A0A0J9RKQ4_DROSI	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_18051._tr|A0A0J9RE95|A0A0J9RE95_DROSI	
N_18052._tr|B4R395|B4R395_DROSI	GO:0046983
N_18053._tr|B4QUM4|B4QUM4_DROSI	
N_18054._tr|B4QI04|B4QI04_DROSI	GO:0016021
N_18055._tr|A0A0J9QUL1|A0A0J9QUL1_DROSI	GO:0003735	GO:0006412	GO:0005840
N_18056._tr|Q2PNM4|Q2PNM4_DROSI	
N_18057._tr|A0A0J9RLU7|A0A0J9RLU7_DROSI	GO:0003723	GO:0003723
N_18058._tr|B4QKL9|B4QKL9_DROSI	GO:0005254
N_18059._tr|B4R4B3|B4R4B3_DROSI	GO:0051920	GO:0016491	GO:0016209	GO:0016491
N_18060._tr|B4R7M0|B4R7M0_DROSI	
N_18061._tr|A0A0J9RUN9|A0A0J9RUN9_DROSI	
N_18062._tr|A0A0J9U610|A0A0J9U610_DROSI	GO:0005515	GO:0005737	GO:0005515	GO:0005515
N_18063._tr|A0A0J9RMW2|A0A0J9RMW2_DROSI	GO:0004672	GO:0005524	GO:0006468
N_18064._tr|A0A0J9R276|A0A0J9R276_DROSI	GO:0004930	GO:0007186	GO:0016021	GO:0005515	GO:0005515
N_18065._tr|A0A0J9R8T3|A0A0J9R8T3_DROSI	GO:0004190	GO:0006508
N_18066._tr|B4Q557|B4Q557_DROSI	GO:0003677
N_18067._tr|B4Q7W2|B4Q7W2_DROSI	GO:0050909	GO:0016021
N_18068._tr|A0A0J9RBK3|A0A0J9RBK3_DROSI	
N_18069._tr|Q9GPC3|Q9GPC3_DROSI	
N_18070._tr|B4NSH1|B4NSH1_DROSI	
N_18071._tr|B4NSE9|B4NSE9_DROSI	GO:0007017	GO:0030286
N_18072._tr|B4QU29|B4QU29_DROSI	
N_18073._tr|B5LEU4|B5LEU4_DROSI	
