N_1._tr|B4JFW9|B4JFW9_DROGR	GO:0005509
N_9034._tr|B4JY27|B4JY27_DROGR	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_9035._tr|B4JJ52|B4JJ52_DROGR	
N_9036._tr|B4JZQ5|B4JZQ5_DROGR	GO:0003924	GO:0005525	GO:0005525	GO:0003924	GO:0005525	GO:0003924	GO:0019001	GO:0031683	GO:0007186
N_9037._tr|B4JF94|B4JF94_DROGR	GO:0005515
N_9038._tr|B4JNA2|B4JNA2_DROGR	GO:0004181	GO:0008270	GO:0006508
N_9039._tr|B4JZ01|B4JZ01_DROGR	GO:0003824
N_9040._tr|B4JXT0|B4JXT0_DROGR	
N_9041._tr|B4JG86|B4JG86_DROGR	GO:0005524
N_9042._tr|B4JPY6|B4JPY6_DROGR	GO:0015276	GO:0016020
N_9043._tr|B4JIL8|B4JIL8_DROGR	GO:0005509	GO:0005509	GO:0005509	GO:0005509
N_9044._tr|B4JD89|B4JD89_DROGR	GO:0030431	GO:0032222	GO:1903818
N_9045._tr|B4J036|B4J036_DROGR	GO:0008146
N_9046._tr|B4JM34|B4JM34_DROGR	GO:0004114	GO:0007165
N_9047._tr|B4J6A0|B4J6A0_DROGR	GO:0016491	GO:0097573
N_9048._tr|B4JHW7|B4JHW7_DROGR	
N_9049._tr|B4JR08|B4JR08_DROGR	GO:0005515
N_9050._tr|B4JCN6|B4JCN6_DROGR	GO:0003700	GO:0006355	GO:0003677
N_9051._tr|B4JK82|B4JK82_DROGR	
N_9052._tr|B4J919|B4J919_DROGR	GO:0003824	GO:0009116
N_9053._tr|B4J3K4|B4J3K4_DROGR	GO:0005615	GO:0019239	GO:0003876	GO:0032264
N_9054._tr|B4JF53|B4JF53_DROGR	GO:0043565	GO:0006355
N_9055._tr|B4JGB2|B4JGB2_DROGR	GO:0005515	GO:0005515	GO:0005515
N_9056._tr|B4K2Y0|B4K2Y0_DROGR	
N_9057._tr|B4J822|B4J822_DROGR	
N_9058._tr|B4JWN1|B4JWN1_DROGR	GO:0003824	GO:0043169	GO:0005975	GO:0005975
N_9059._tr|B4JMM5|B4JMM5_DROGR	GO:0005515	GO:0005515	GO:0005515	GO:0005515
N_9060._tr|B4J8D9|B4J8D9_DROGR	GO:0008061	GO:0005576
N_9061._tr|B4IYV2|B4IYV2_DROGR	
N_9062._tr|B4K465|B4K465_DROGR	GO:0008061	GO:0005576
N_9063._tr|B4JM10|B4JM10_DROGR	
N_9064._tr|B4IZB8|B4IZB8_DROGR	
N_9065._tr|B4JZN8|B4JZN8_DROGR	GO:0004672	GO:0005524	GO:0006468	GO:0004683	GO:0005516	GO:0006468	GO:0004672	GO:0006468
N_9066._tr|B4JS79|B4JS79_DROGR	GO:0008061	GO:0005576
N_9067._tr|B4JYU2|B4JYU2_DROGR	
N_9068._tr|B4JEL9|B4JEL9_DROGR	GO:0005102	GO:0007275	GO:0016055	GO:0005576
N_9069._tr|B4JFK6|B4JFK6_DROGR	GO:0006355	GO:0046983	GO:0005515
N_9070._tr|B4JZN6|B4JZN6_DROGR	GO:0005319	GO:0006869	GO:0005198	GO:0019028	GO:0019031	GO:0005319	GO:0006869	GO:0005319	GO:0006869
N_9071._tr|B4JIU0|B4JIU0_DROGR	GO:0004252	GO:0006508
N_9072._tr|B4JA41|B4JA41_DROGR	GO:0016020
N_9073._tr|B4K090|B4K090_DROGR	
N_9074._tr|B4J3U5|B4J3U5_DROGR	GO:0009263
N_9075._tr|B4J8P0|B4J8P0_DROGR	
N_9076._tr|B4JLG3|B4JLG3_DROGR	GO:0003712	GO:0000124
N_9077._tr|B4K1R3|B4K1R3_DROGR	GO:0000166
N_9078._tr|B4JFR9|B4JFR9_DROGR	GO:0006355	GO:0046983	GO:0005515
N_9079._tr|B4JTJ3|B4JTJ3_DROGR	GO:0003824
N_9080._tr|B4IXL1|B4IXL1_DROGR	GO:0003723
N_9081._tr|B4JLV4|B4JLV4_DROGR	GO:0004497	GO:0006744	GO:0016491	GO:0046872
N_9082._tr|B4JGM7|B4JGM7_DROGR	GO:0003677
N_9083._tr|B4JU24|B4JU24_DROGR	GO:0005515	GO:0005515	GO:0005515	GO:0005216	GO:0006811	GO:0055085	GO:0016020	GO:0005515
N_9084._tr|B4J910|B4J910_DROGR	GO:0005515	GO:0005515	GO:0005515
N_9085._tr|B4J298|B4J298_DROGR	GO:0004181	GO:0008270	GO:0006508
N_9086._tr|B4K1F6|B4K1F6_DROGR	
N_9087._tr|B4JDF3|B4JDF3_DROGR	
N_9088._tr|B4K173|B4K173_DROGR	
N_9089._tr|B4JB47|B4JB47_DROGR	GO:0003723
N_9090._tr|B4JRX4|B4JRX4_DROGR	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_9091._tr|B4JLH4|B4JLH4_DROGR	GO:0008417	GO:0006486	GO:0016020
N_9092._tr|B4JFM6|B4JFM6_DROGR	GO:0051603	GO:0005839
N_9093._tr|B4J2A9|B4J2A9_DROGR	GO:0016021
N_9094._tr|B4J321|B4J321_DROGR	GO:0019901	GO:0005515	GO:0005515	GO:0005515	GO:0005515	GO:0005515
N_9095._tr|B4JXB2|B4JXB2_DROGR	GO:0007154	GO:0016020
N_9096._tr|B4J4E5|B4J4E5_DROGR	GO:0003677
N_9097._tr|B4IYB0|B4IYB0_DROGR	
N_9098._tr|B4JQH9|B4JQH9_DROGR	GO:0004867
N_9099._tr|B4J656|B4J656_DROGR	
N_9100._tr|B4J131|B4J131_DROGR	GO:0003700	GO:0008270	GO:0043565	GO:0006355	GO:0005886	GO:0016021
N_9101._tr|B4J2P6|B4J2P6_DROGR	GO:0008080	GO:0016747	GO:0008080	GO:0008080
N_9102._tr|A0A0A0MNQ8|A0A0A0MNQ8_DROGR	GO:0016298
N_9103._tr|B4JKB2|B4JKB2_DROGR	
N_9104._tr|B4JB26|B4JB26_DROGR	GO:0003690	GO:0006355
N_9105._tr|B4JI53|B4JI53_DROGR	GO:0007165
N_9106._sp|B4J5U3|SDHF2_DROGR	
N_9107._tr|B4JWB1|B4JWB1_DROGR	
N_9108._tr|B4J8U8|B4J8U8_DROGR	GO:0005515
N_9109._tr|B4JMY1|B4JMY1_DROGR	
N_9110._tr|B4JW09|B4JW09_DROGR	GO:0051287	GO:0016620
N_9111._tr|B4JYM4|B4JYM4_DROGR	GO:0008080	GO:0008080	GO:0008080
N_9112._tr|B4JXT7|B4JXT7_DROGR	GO:0003723
N_9113._tr|B4K1E1|B4K1E1_DROGR	GO:0070006	GO:0006508	GO:0070006	GO:0006508
N_9114._tr|B4K0E5|B4K0E5_DROGR	GO:0004252	GO:0006508
N_9115._tr|B4JGS3|B4JGS3_DROGR	GO:0003677	GO:0006334	GO:0000786
N_9116._tr|B4JZU1|B4JZU1_DROGR	GO:0003677	GO:0006355	GO:0003677
N_9117._tr|B4J895|B4J895_DROGR	
N_9118._tr|B4JWR6|B4JWR6_DROGR	GO:0016747	GO:0008080	GO:0047961	GO:0005739
N_9119._tr|B4JJB6|B4JJB6_DROGR	GO:0005525	GO:0003924	GO:0005525	GO:0005525	GO:0003924	GO:0005525	GO:0003924	GO:0019001	GO:0031683	GO:0007186
N_9120._sp|B4JTF5|HH_DROGR	GO:0016540	GO:0007267
N_9121._tr|B4JLR1|B4JLR1_DROGR	GO:0003924	GO:0005525	GO:0003924	GO:0005525	GO:0003924	GO:0005525
N_9122._tr|B4J4H0|B4J4H0_DROGR	GO:0007034
N_9123._tr|B4JU99|B4JU99_DROGR	GO:0003723	GO:0003723
N_9124._tr|B4JDL9|B4JDL9_DROGR	
N_9125._tr|B4J8B8|B4J8B8_DROGR	
N_9126._tr|B4J2B1|B4J2B1_DROGR	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_9127._tr|B4JSS6|B4JSS6_DROGR	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_9128._tr|B4IZK5|B4IZK5_DROGR	GO:0000340	GO:0003729	GO:0003723	GO:0004535	GO:0046872	GO:0006402	GO:0005634	GO:0005737	GO:0003676
N_9129._tr|B4JN07|B4JN07_DROGR	GO:0008168
N_9130._tr|B4J0P3|B4J0P3_DROGR	GO:0003697	GO:0000002	GO:0006281	GO:0000262	GO:0008061	GO:0005576
N_9131._tr|B4J5A5|B4J5A5_DROGR	
N_9132._tr|B4J9P6|B4J9P6_DROGR	GO:0016791	GO:0008484
N_9133._tr|B4K371|B4K371_DROGR	
N_9134._tr|B4JLR0|B4JLR0_DROGR	GO:0004252	GO:0006508
N_9135._tr|B4J6U8|B4J6U8_DROGR	GO:0003712	GO:0006357	GO:0016592
N_9136._tr|B4JVM6|B4JVM6_DROGR	GO:0046907
N_9137._tr|B4IWT4|B4IWT4_DROGR	GO:0004497	GO:0005506	GO:0016705	GO:0020037
N_9138._tr|B4JTQ3|B4JTQ3_DROGR	GO:0003723	GO:0003723	GO:0004535	GO:0046872	GO:0006402	GO:0005634	GO:0005737	GO:0003723
N_9139._tr|B4JW72|B4JW72_DROGR	GO:0004497	GO:0005506	GO:0016705	GO:0020037
N_9140._tr|B4JVX5|B4JVX5_DROGR	
N_9141._tr|B4J3N7|B4J3N7_DROGR	
N_9142._tr|B4JEI2|B4JEI2_DROGR	
N_9143._tr|B4K208|B4K208_DROGR	GO:0016021
N_9144._tr|B4JFU1|B4JFU1_DROGR	GO:0005515	GO:0016491	GO:0016491	GO:0046872	GO:0016491
N_9145._tr|B4K3L9|B4K3L9_DROGR	
N_9146._tr|B4JTA5|B4JTA5_DROGR	GO:0003723	GO:0005515
N_9147._tr|B4IXX5|B4IXX5_DROGR	GO:0016627	GO:0016627	GO:0016627	GO:0050660
N_9148._tr|B4JBQ2|B4JBQ2_DROGR	
N_9149._tr|B4JKG9|B4JKG9_DROGR	GO:0008270	GO:0005634
N_9150._tr|B4JCP9|B4JCP9_DROGR	GO:0055085	GO:0016020	GO:0022857	GO:0055085
N_9151._tr|B4JHA2|B4JHA2_DROGR	GO:0003677	GO:0006367	GO:0032968	GO:0005634
N_9152._tr|B4J6N7|B4J6N7_DROGR	GO:0003677	GO:0006355	GO:0003677
N_9153._tr|B4JFV7|B4JFV7_DROGR	
N_9154._tr|B4J409|B4J409_DROGR	GO:0004984	GO:0005549	GO:0007608	GO:0016020
N_9155._tr|B4JYQ5|B4JYQ5_DROGR	GO:0022857	GO:0055085	GO:0016021	GO:0022857	GO:0055085
N_9156._tr|B4J299|B4J299_DROGR	GO:0004181	GO:0008270	GO:0006508
N_9157._tr|B4JVQ0|B4JVQ0_DROGR	GO:0016780	GO:0008654	GO:0016020
N_9158._tr|B4JJE4|B4JJE4_DROGR	GO:0003677
N_9159._tr|B4JA79|B4JA79_DROGR	GO:0007017	GO:0030286
N_9160._tr|B4JP95|B4JP95_DROGR	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_9161._tr|B4J3A8|B4J3A8_DROGR	GO:0003700	GO:0045893
N_9162._tr|B4J6Z2|B4J6Z2_DROGR	
N_9163._tr|B4J1U1|B4J1U1_DROGR	GO:0007034	GO:0015031
N_9164._tr|B4JRL6|B4JRL6_DROGR	
N_9165._tr|B4J8G4|B4J8G4_DROGR	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_9166._tr|B4JXA7|B4JXA7_DROGR	
N_9167._tr|B4K2K8|B4K2K8_DROGR	
N_9168._tr|B4JER8|B4JER8_DROGR	
N_9169._tr|B4JIL6|B4JIL6_DROGR	GO:0008191
N_9170._tr|B4JGX5|B4JGX5_DROGR	GO:0004222	GO:0006508	GO:0006508
N_9171._tr|B4JAF4|B4JAF4_DROGR	GO:0016798
N_9172._tr|B4JS70|B4JS70_DROGR	GO:0006351	GO:0003676	GO:0008270	GO:0006351
N_9173._tr|B4JMS8|B4JMS8_DROGR	
N_9174._tr|B4JBZ4|B4JBZ4_DROGR	GO:0018149	GO:0003810	GO:0018149
N_9175._tr|B4J761|B4J761_DROGR	
N_9176._tr|B4J0A4|B4J0A4_DROGR	
N_9177._sp|B4J789|EIF3C_DROGR	GO:0003743	GO:0031369	GO:0006413	GO:0005852
N_9178._tr|B4K0H5|B4K0H5_DROGR	
N_9179._tr|B4J0I1|B4J0I1_DROGR	GO:0003723	GO:0005515
N_9180._tr|B4JQU1|B4JQU1_DROGR	
N_9181._tr|B4JQC1|B4JQC1_DROGR	GO:0006355	GO:0005667	GO:0046983
N_9182._tr|B4IY12|B4IY12_DROGR	GO:0005515
N_9183._tr|B4K3H7|B4K3H7_DROGR	GO:0003677	GO:0006352
N_9184._tr|B4J6X2|B4J6X2_DROGR	
N_9185._tr|B4J2Y7|B4J2Y7_DROGR	
N_9186._tr|B4JD70|B4JD70_DROGR	
N_9187._tr|B4JIP9|B4JIP9_DROGR	GO:0003735	GO:0006412	GO:0005840
N_9188._tr|B4JW90|B4JW90_DROGR	
N_9189._tr|B4JYQ1|B4JYQ1_DROGR	
N_9190._tr|B4JHW0|B4JHW0_DROGR	
N_9191._tr|B4IYE2|B4IYE2_DROGR	GO:0000077	GO:0030896	GO:0000077
N_9192._tr|B4J0I7|B4J0I7_DROGR	
N_9193._tr|B4JMT3|B4JMT3_DROGR	GO:0005634
N_9194._tr|B4JTN7|B4JTN7_DROGR	
N_9195._tr|B4IXA9|B4IXA9_DROGR	GO:0003824
N_9196._tr|B4JGG4|B4JGG4_DROGR	
N_9197._tr|B4J402|B4J402_DROGR	
N_9198._tr|B4IX44|B4IX44_DROGR	GO:0003723	GO:0003724	GO:0003924	GO:0005525	GO:0005525	GO:0003924	GO:0005525
N_9199._tr|B4JGI3|B4JGI3_DROGR	GO:0007219	GO:0007423
N_9200._tr|B4JBD7|B4JBD7_DROGR	GO:0003723	GO:0000178
N_9201._tr|B4JWQ4|B4JWQ4_DROGR	
N_9202._tr|B4JCI3|B4JCI3_DROGR	GO:0050909	GO:0016021	GO:0004984	GO:0005549	GO:0007608	GO:0016020
N_9203._tr|B4J4Q8|B4J4Q8_DROGR	GO:0005515	GO:0005515
N_9204._tr|B4JLU5|B4JLU5_DROGR	
N_9205._tr|B4JSK0|B4JSK0_DROGR	GO:0008289
N_9206._tr|B4J2Y5|B4J2Y5_DROGR	GO:0003677	GO:0005886	GO:0016021
N_9207._tr|B4K044|B4K044_DROGR	GO:0070006	GO:0006508	GO:0070006	GO:0006508
N_9208._tr|B4J9H8|B4J9H8_DROGR	
N_9209._tr|B4JU48|B4JU48_DROGR	
N_9210._tr|B4JH99|B4JH99_DROGR	
N_9211._tr|B4JEA6|B4JEA6_DROGR	GO:0005216	GO:0006811	GO:0055085	GO:0016020
N_9212._tr|B4J7N8|B4J7N8_DROGR	GO:0003723	GO:0006397	GO:0005634	GO:0005737
N_9213._tr|B4JAM2|B4JAM2_DROGR	GO:0016020
N_9214._tr|B4J5R8|B4J5R8_DROGR	
N_9215._tr|B4IXS7|B4IXS7_DROGR	GO:0003854	GO:0016616	GO:0006694
N_9216._tr|B4J0J0|B4J0J0_DROGR	
N_9217._tr|B4IYR8|B4IYR8_DROGR	
N_9218._tr|B4JK24|B4JK24_DROGR	GO:0022857	GO:0055085	GO:0016021	GO:0022857	GO:0055085
N_9219._tr|B4J729|B4J729_DROGR	GO:0016787
N_9220._tr|B4JI38|B4JI38_DROGR	GO:0004814	GO:0005524	GO:0006420
N_9221._tr|B4JC02|B4JC02_DROGR	GO:0003677	GO:0006352
N_9222._tr|B4J1I2|B4J1I2_DROGR	
N_9223._tr|B4K003|B4K003_DROGR	
N_9224._tr|B4JUN3|B4JUN3_DROGR	GO:0003700	GO:0008270	GO:0043565	GO:0006355
N_9225._tr|B4JZB0|B4JZB0_DROGR	GO:0005515
N_9226._tr|B4JKV6|B4JKV6_DROGR	GO:0003677	GO:0004518
N_9227._tr|B4J8V8|B4J8V8_DROGR	GO:0008299
N_9228._tr|B4K2L0|B4K2L0_DROGR	GO:0008234	GO:0006508
N_9229._tr|B4IXT9|B4IXT9_DROGR	
N_9230._tr|B4J5T1|B4J5T1_DROGR	GO:0005515	GO:0006749	GO:0005515	GO:0006749	GO:0005515	GO:0006749
N_9231._tr|B4JPW1|B4JPW1_DROGR	
N_9232._tr|B4K3D5|B4K3D5_DROGR	
N_9233._tr|B4K3E7|B4K3E7_DROGR	
N_9234._tr|B4JDD9|B4JDD9_DROGR	GO:0008168	GO:0008168	GO:0008176	GO:0006400
N_9235._tr|B4JBY1|B4JBY1_DROGR	
N_9236._tr|B4J6L2|B4J6L2_DROGR	
N_9237._tr|B4JGB1|B4JGB1_DROGR	
N_9238._tr|B4JL97|B4JL97_DROGR	GO:0007165	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_9239._tr|B4J6Q7|B4J6Q7_DROGR	GO:0003723
N_9240._tr|B4IXN4|B4IXN4_DROGR	
N_9241._tr|B4JGA3|B4JGA3_DROGR	
N_9242._tr|B4JJI0|B4JJI0_DROGR	GO:0022857	GO:0055085	GO:0016020	GO:0055085	GO:0016020
N_9243._tr|B4J221|B4J221_DROGR	GO:0003854	GO:0016616	GO:0006694
N_9244._tr|B4J5L7|B4J5L7_DROGR	GO:0016429	GO:0030488	GO:0031515	GO:0003723	GO:0008168	GO:0006364
N_9245._tr|B4JW10|B4JW10_DROGR	GO:0005509	GO:0005509	GO:0005509	GO:0005509	GO:0005509
N_9246._tr|B4JBE1|B4JBE1_DROGR	GO:0005515	GO:0003676
N_9247._tr|B4JZE8|B4JZE8_DROGR	GO:0016758	GO:0006486	GO:0016020	GO:0016757	GO:0016020
N_9248._tr|B4JU27|B4JU27_DROGR	
N_9249._tr|B4J7F5|B4J7F5_DROGR	GO:0140359	GO:0005524	GO:0016020
N_9250._tr|B4J2J8|B4J2J8_DROGR	
N_9251._tr|B4J1J3|B4J1J3_DROGR	GO:0003676	GO:0003723	GO:0006396
N_9252._tr|B4JAD1|B4JAD1_DROGR	GO:0005515
N_9253._tr|B4JMI0|B4JMI0_DROGR	
N_9254._tr|B4JBD0|B4JBD0_DROGR	GO:0004315	GO:0006633	GO:0009058
N_9255._tr|B4K1T1|B4K1T1_DROGR	GO:0005549
N_9256._tr|B4JNT3|B4JNT3_DROGR	GO:0000226
N_9257._tr|B4JAV6|B4JAV6_DROGR	
N_9258._tr|B4JK40|B4JK40_DROGR	GO:0004970	GO:0016020
N_9259._tr|B4J8N7|B4J8N7_DROGR	GO:0016409
N_9260._sp|B4JG35|DDRGK_DROGR	
N_9261._tr|B4JKZ3|B4JKZ3_DROGR	GO:0016614	GO:0050660	GO:0016491	GO:0016614
N_9262._tr|B4JGD9|B4JGD9_DROGR	GO:0008484
N_9263._tr|B4JFV5|B4JFV5_DROGR	GO:0006352	GO:0071821
N_9264._tr|B4K377|B4K377_DROGR	GO:0016021
N_9265._tr|B4JC03|B4JC03_DROGR	GO:0005615	GO:0004866	GO:0005576	GO:0004866
N_9266._tr|B4JWY3|B4JWY3_DROGR	GO:0005515	GO:0006886	GO:0016192	GO:0030117	GO:0005515
N_9267._tr|B4JHA1|B4JHA1_DROGR	
N_9268._tr|B4JPR0|B4JPR0_DROGR	
N_9269._tr|B4J9J5|B4J9J5_DROGR	GO:0016021
N_9270._tr|B4JTS7|B4JTS7_DROGR	GO:0003677
N_9271._tr|B4JP35|B4JP35_DROGR	GO:0005515	GO:0003676
N_9272._tr|B4J7V5|B4J7V5_DROGR	
N_9273._tr|B4J7R9|B4J7R9_DROGR	GO:0005515
N_9274._tr|B4J0T3|B4J0T3_DROGR	GO:0005267	GO:0042802	GO:0071805	GO:0016020
N_9275._tr|B4J464|B4J464_DROGR	
N_9276._tr|B4JYJ6|B4JYJ6_DROGR	
N_9277._tr|A0A0A0MNH0|A0A0A0MNH0_DROGR	GO:0004347	GO:0006094	GO:0006096
N_9278._tr|B4JLP6|B4JLP6_DROGR	GO:0005524	GO:0140664	GO:0005524	GO:0140359	GO:0055085	GO:0016021
N_9279._tr|B4JHR8|B4JHR8_DROGR	
N_9280._tr|B4JGJ8|B4JGJ8_DROGR	
N_9281._tr|B4IYF1|B4IYF1_DROGR	GO:0007034
N_9282._tr|B4JXC3|B4JXC3_DROGR	
N_9283._tr|B4JHZ6|B4JHZ6_DROGR	GO:0008270	GO:0005634
N_9284._tr|B4JLR6|B4JLR6_DROGR	GO:0005515
N_9285._tr|B4JKT5|B4JKT5_DROGR	
N_9286._tr|B4JQA3|B4JQA3_DROGR	GO:0004096	GO:0020037
N_9287._tr|B4J7J3|B4J7J3_DROGR	GO:0016491	GO:0015930	GO:0016638	GO:0006537	GO:0003824
N_9288._tr|B4JDL4|B4JDL4_DROGR	
N_9289._tr|B4J725|B4J725_DROGR	
N_9290._tr|B4IZ28|B4IZ28_DROGR	GO:0016192	GO:0016192	GO:0016192
N_9291._tr|B4IZC3|B4IZC3_DROGR	
N_9292._tr|B4J3K7|B4J3K7_DROGR	GO:0009922	GO:0016021
N_9293._tr|B4K3I6|B4K3I6_DROGR	GO:0003677	GO:0006334	GO:0000786
N_9294._tr|B4JYH6|B4JYH6_DROGR	
N_9295._tr|B4JBC5|B4JBC5_DROGR	GO:0008237	GO:0008241	GO:0006508	GO:0016020
N_9296._tr|B4IYI6|B4IYI6_DROGR	
N_9297._tr|B4K394|B4K394_DROGR	GO:0005515	GO:0005515	GO:0005515
N_9298._tr|B4JBT3|B4JBT3_DROGR	GO:0005515	GO:0046872
N_9299._tr|B4JNP4|B4JNP4_DROGR	GO:0005515	GO:0005515	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468	GO:0005515
N_9300._tr|B4JHW4|B4JHW4_DROGR	GO:0005525
N_9301._tr|B4JF81|B4JF81_DROGR	GO:0016787
N_9302._tr|B4JEH7|B4JEH7_DROGR	GO:0046961	GO:1902600	GO:0000221	GO:0005515	GO:1902600	GO:0000221
N_9303._tr|B4J236|B4J236_DROGR	GO:0061608	GO:0006606	GO:0042254	GO:0005634
N_9304._tr|B4JG33|B4JG33_DROGR	GO:0022857	GO:0055085	GO:0016020
N_9305._tr|B4JCQ5|B4JCQ5_DROGR	
N_9306._tr|B4JDY5|B4JDY5_DROGR	
N_9307._tr|B4IXI9|B4IXI9_DROGR	GO:0004252	GO:0016021
N_9308._tr|B4K089|B4K089_DROGR	
N_9309._tr|B4JRG7|B4JRG7_DROGR	GO:0009058
N_9310._tr|B4JVN4|B4JVN4_DROGR	GO:0004376	GO:0051751	GO:0006506	GO:0016021
N_9311._tr|B4K1N0|B4K1N0_DROGR	GO:0005576	GO:0042742	GO:0005576
N_9312._tr|B4JYH5|B4JYH5_DROGR	GO:0005549
N_9313._tr|B4J4G3|B4J4G3_DROGR	GO:0042030	GO:0032780	GO:0005739
N_9314._tr|B4J1L0|B4J1L0_DROGR	GO:0070006	GO:0006508	GO:0070006	GO:0006508
N_9315._tr|B4IYR7|B4IYR7_DROGR	
N_9316._tr|B4J9W1|B4J9W1_DROGR	GO:0016409
N_9317._tr|B4JW49|B4JW49_DROGR	GO:0050909	GO:0016021
N_9318._tr|B4IYW3|B4IYW3_DROGR	
N_9319._tr|B4JP74|B4JP74_DROGR	
N_9320._tr|B4JCA3|B4JCA3_DROGR	GO:0005886	GO:0016021
N_9321._tr|B4IXF7|B4IXF7_DROGR	GO:0016787
N_9322._tr|B4JPY7|B4JPY7_DROGR	GO:0006891	GO:1990071
N_9323._tr|B4JYS6|B4JYS6_DROGR	
N_9324._tr|B4J879|B4J879_DROGR	GO:0120013	GO:0120009	GO:0005737
N_9325._tr|B4J2H7|B4J2H7_DROGR	GO:0016624
N_9326._tr|B4J9Z8|B4J9Z8_DROGR	GO:0005525	GO:0003924	GO:0005525	GO:0005525
N_9327._tr|B4J4B9|B4J4B9_DROGR	
N_9328._tr|B4JGD0|B4JGD0_DROGR	
N_9329._tr|B4K348|B4K348_DROGR	GO:0000166	GO:0004812	GO:0005524	GO:0006418
N_9330._tr|B4J3Y4|B4J3Y4_DROGR	
N_9331._tr|B4JU98|B4JU98_DROGR	GO:0008270	GO:0005634
N_9332._tr|B4K0U8|B4K0U8_DROGR	GO:0008194	GO:0016758
N_9333._tr|B4JDX4|B4JDX4_DROGR	GO:0022857	GO:0055085	GO:0016021	GO:0022857	GO:0055085
N_9334._tr|B4J134|B4J134_DROGR	
N_9335._tr|B4JTW3|B4JTW3_DROGR	GO:0005515
N_9336._tr|B4JE94|B4JE94_DROGR	
N_9337._tr|B4JBI9|B4JBI9_DROGR	GO:0016810	GO:0005975	GO:0005515	GO:0008061	GO:0005576
N_9338._tr|B4J152|B4J152_DROGR	GO:0005047	GO:0008312	GO:0030942	GO:0006614	GO:0005786
N_9339._tr|B4JCE3|B4JCE3_DROGR	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_9340._tr|B4J981|B4J981_DROGR	
N_9341._tr|B4JQZ2|B4JQZ2_DROGR	
N_9342._tr|B4IZ67|B4IZ67_DROGR	
N_9343._tr|B4JZE5|B4JZE5_DROGR	GO:0016758	GO:0006486	GO:0016020	GO:0016757	GO:0016020
N_9344._tr|B4JWH5|B4JWH5_DROGR	GO:0008270	GO:0005634
N_9345._tr|B4IZS6|B4IZS6_DROGR	
N_9346._tr|B4JYW2|B4JYW2_DROGR	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_9347._tr|B4JHK5|B4JHK5_DROGR	GO:0005525
N_9348._tr|B4JEY2|B4JEY2_DROGR	
N_9349._tr|B4JED5|B4JED5_DROGR	
N_9350._tr|B4J2J3|B4J2J3_DROGR	
N_9351._tr|B4J3J3|B4J3J3_DROGR	GO:0004930	GO:0007186	GO:0016021
N_9352._tr|B4JG13|B4JG13_DROGR	GO:0005509	GO:0007156	GO:0016020
N_9353._tr|B4JXS6|B4JXS6_DROGR	GO:0004930	GO:0007186	GO:0016021	GO:0006629
N_9354._tr|B4JU71|B4JU71_DROGR	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_9355._tr|B4JBG9|B4JBG9_DROGR	
N_9356._tr|B4JWP4|B4JWP4_DROGR	
N_9357._tr|B4JF06|B4JF06_DROGR	GO:0008270	GO:0046872	GO:0008270	GO:0061630	GO:0097602	GO:0031145	GO:0005680
N_9358._tr|B4IWL8|B4IWL8_DROGR	GO:0016627	GO:0006629
N_9359._tr|B4JHU9|B4JHU9_DROGR	GO:0005262	GO:0070588	GO:0016020	GO:0005216	GO:0006811	GO:0055085	GO:0016020
N_9360._tr|B4J9T0|B4J9T0_DROGR	GO:0008324	GO:0006812	GO:0055085	GO:0016021
N_9361._tr|B4JKA6|B4JKA6_DROGR	GO:0016787
N_9362._tr|B4IXN3|B4IXN3_DROGR	
N_9363._tr|B4J9I2|B4J9I2_DROGR	
N_9364._tr|B4JWR0|B4JWR0_DROGR	
N_9365._tr|B4JHU1|B4JHU1_DROGR	
N_9366._tr|B4J4S4|B4J4S4_DROGR	GO:0000287	GO:0008253	GO:0005737
N_9367._tr|B4J1T3|B4J1T3_DROGR	GO:0022857	GO:0055085	GO:0016020	GO:0055085	GO:0016021
N_9368._tr|B4JM24|B4JM24_DROGR	GO:0008270	GO:0046872	GO:0008270	GO:0061630	GO:0097602	GO:0031145	GO:0005680
N_9369._tr|B4J916|B4J916_DROGR	GO:0005515	GO:0005515	GO:0005515
N_9370._tr|B4JW28|B4JW28_DROGR	GO:0004611	GO:0006094	GO:0004611	GO:0006094
N_9371._tr|B4JRE5|B4JRE5_DROGR	GO:0005515	GO:0006749	GO:0005515	GO:0006749	GO:0005515	GO:0006749
N_9372._tr|B4JY02|B4JY02_DROGR	GO:0000287	GO:0004749	GO:0009165
N_9373._tr|B4IY69|B4IY69_DROGR	GO:0046935	GO:0005944	GO:0008270	GO:0005634
